Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.577483,0.313257,0.583855,0.316107,0.595194,0.318632,0.598038,0.272068,0.6004,0.220506,0.534023,0.330659,0.544051,0.331659,0.561261,0.330476,0.56853,0.278942,0.587402,0.226776,0.632156,0.209395,0.630768,0.200717,0.627994,0.175479,0.620295,0.14278,0.606671,0.139242,0.54313,0.227544,0.550207,0.216078,0.571249,0.185054,0.589842,0.14608,0.600472,0.140843,0.60336,0.0927619,0.604153,0.121455,0.607008,0.135132,0.611989,0.147566,0.608729,0.170145,0.605071,0.184498,0.60169,0.196073,0.602597,0.212692,0.596832,0.220001,0.583713,0.115596,0.586364,0.110953,0.589658,0.110632,0.596417,0.113327,0.605394,0.112339,0.559133,0.341195,0.562998,0.338281,0.598046,0.326214,0.591345,0.328047,0.542005,0.337185,0.545989,0.334362,0.586963,0.318987,0.580362,0.320739,0.531882,0.334417,0.535935,0.331651,0.580615,0.314562,0.574075,0.316267,0.589842,0.14608,0.571249,0.185054,0.550207,0.216078,0.620295,0.14278,0.627994,0.175479,0.630768,0.200717,0.587402,0.226776,0.56853,0.278942,0.561261,0.330476,0.544051,0.331659,0.6004,0.220506,0.598038,0.272068,0.595194,0.318632,0.583855,0.316107,
2,0.57745,0.313247,0.583825,0.316094,0.59518,0.318609,0.59801,0.27205,0.600426,0.220499,0.534129,0.330622,0.544153,0.331625,0.561353,0.330454,0.568626,0.278936,0.587386,0.226739,0.632146,0.209395,0.630749,0.2007,0.627997,0.175466,0.620335,0.14277,0.606727,0.139232,0.54323,0.22756,0.550257,0.216064,0.571281,0.185033,0.589954,0.146086,0.600487,0.140824,0.603382,0.0927508,0.604181,0.121442,0.607035,0.135117,0.61201,0.147551,0.60876,0.170133,0.605105,0.184486,0.601722,0.19606,0.602609,0.212682,0.596839,0.219983,0.583733,0.115588,0.586389,0.110945,0.589674,0.110622,0.596456,0.113318,0.605407,0.112325,0.55924,0.341173,0.563105,0.338232,0.597989,0.326225,0.591288,0.328015,0.542115,0.337159,0.546099,0.33431,0.586913,0.319001,0.580313,0.32071,0.531992,0.33439,0.536045,0.331597,0.580571,0.314577,0.574031,0.316239,0.589954,0.146086,0.571281,0.185033,0.550257,0.216064,0.620335,0.14277,0.627997,0.175466,0.630749,0.2007,0.587386,0.226739,0.568626,0.278936,0.561353,0.330454,0.544153,0.331625,0.600426,0.220499,0.59801,0.27205,0.59518,0.318609,0.583825,0.316094,
3,0.577433,0.313234,0.583816,0.316075,0.595195,0.318576,0.597979,0.27203,0.6005,0.220484,0.534213,0.330603,0.544238,0.331605,0.56143,0.330438,0.568686,0.278903,0.587433,0.226733,0.632147,0.209415,0.630726,0.200674,0.628003,0.175444,0.62041,0.14275,0.606797,0.139216,0.543308,0.227568,0.550318,0.216063,0.571331,0.18503,0.59005,0.146103,0.600519,0.140785,0.603386,0.0927317,0.604221,0.121418,0.607083,0.135091,0.612041,0.147527,0.608783,0.170113,0.605131,0.184468,0.601754,0.196045,0.602653,0.212667,0.596894,0.219971,0.583755,0.115581,0.586413,0.110944,0.589686,0.110603,0.596501,0.113325,0.605417,0.11228,0.559348,0.341161,0.563206,0.338172,0.597967,0.326221,0.591269,0.327977,0.542216,0.337154,0.546193,0.334257,0.586886,0.319003,0.58029,0.320679,0.532088,0.334389,0.536133,0.331549,0.580543,0.314583,0.574006,0.316212,0.59005,0.146103,0.571331,0.18503,0.550318,0.216063,0.62041,0.14275,0.628003,0.175444,0.630726,0.200674,0.587433,0.226733,0.568686,0.278903,0.56143,0.330438,0.544238,0.331605,0.6005,0.220484,0.597979,0.27203,0.595195,0.318576,0.583816,0.316075,
4,0.577392,0.313233,0.583785,0.31606,0.595183,0.318536,0.59802,0.271983,0.600511,0.220443,0.534294,0.330603,0.544328,0.331597,0.561527,0.330421,0.568752,0.278888,0.587442,0.226702,0.632144,0.209429,0.630713,0.200648,0.627992,0.17542,0.620446,0.142733,0.606895,0.139197,0.543394,0.22756,0.550391,0.216049,0.57138,0.185005,0.59014,0.146088,0.600578,0.140759,0.603381,0.0927306,0.604274,0.121411,0.607154,0.135077,0.612098,0.147518,0.608821,0.1701,0.605163,0.184451,0.601782,0.196023,0.602669,0.212643,0.596906,0.219939,0.583783,0.115627,0.586442,0.110978,0.589701,0.11064,0.596556,0.113321,0.60543,0.112286,0.559478,0.341147,0.563318,0.338118,0.597948,0.32619,0.591257,0.32794,0.542325,0.337158,0.546285,0.334222,0.586851,0.318994,0.58026,0.320665,0.532183,0.334406,0.536212,0.331526,0.580499,0.314586,0.573967,0.316211,0.59014,0.146088,0.57138,0.185005,0.550391,0.216049,0.620446,0.142733,0.627992,0.17542,0.630713,0.200648,0.587442,0.226702,0.568752,0.278888,0.561527,0.330421,0.544328,0.331597,0.600511,0.220443,0.59802,0.271983,0.595183,0.318536,0.583785,0.31606,
5,0.577357,0.313223,0.583756,0.316038,0.595158,0.318491,0.598011,0.271956,0.600584,0.220413,0.534386,0.330609,0.544437,0.331587,0.56166,0.330386,0.568806,0.278849,0.587467,0.226666,0.632102,0.209463,0.63071,0.200633,0.628027,0.17542,0.620474,0.142743,0.606999,0.139174,0.543484,0.227567,0.550457,0.216043,0.571455,0.185011,0.590255,0.146108,0.600612,0.140717,0.603386,0.0927098,0.604322,0.121384,0.607211,0.135047,0.612137,0.147491,0.608861,0.170076,0.605208,0.184427,0.601831,0.195998,0.602712,0.212619,0.596953,0.219909,0.583804,0.115631,0.586471,0.110981,0.589709,0.110634,0.596619,0.113315,0.605434,0.112252,0.559638,0.341115,0.563451,0.338063,0.597934,0.326143,0.591246,0.327902,0.542454,0.337157,0.546388,0.334197,0.586825,0.318969,0.580238,0.320648,0.532291,0.334422,0.536295,0.331519,0.580466,0.314572,0.573937,0.316205,0.590255,0.146108,0.571455,0.185011,0.550457,0.216043,0.620474,0.142743,0.628027,0.17542,0.63071,0.200633,0.587467,0.226666,0.568806,0.278849,0.56166,0.330386,0.544437,0.331587,0.600584,0.220413,0.598011,0.271956,0.595158,0.318491,0.583756,0.316038,
6,0.577345,0.313201,0.583738,0.316015,0.59513,0.318464,0.598026,0.271907,0.600644,0.220395,0.534476,0.33062,0.544547,0.331583,0.561794,0.330362,0.568888,0.278826,0.587525,0.226655,0.632092,0.209471,0.630697,0.200613,0.628014,0.175403,0.620479,0.142729,0.607066,0.139152,0.543565,0.227569,0.550535,0.216045,0.571525,0.185014,0.590329,0.146107,0.60064,0.140686,0.603402,0.0926907,0.60436,0.121362,0.607251,0.135023,0.612166,0.147468,0.60889,0.170054,0.605243,0.184405,0.601872,0.195978,0.602762,0.212598,0.597009,0.219893,0.58382,0.115629,0.586497,0.110975,0.589715,0.110628,0.596677,0.113295,0.605434,0.112235,0.559807,0.341096,0.563589,0.338005,0.597907,0.32612,0.591216,0.327874,0.542588,0.337166,0.546492,0.334168,0.586809,0.318948,0.580218,0.320623,0.532402,0.334448,0.536376,0.331507,0.580455,0.314552,0.573924,0.31618,0.590329,0.146107,0.571525,0.185014,0.550535,0.216045,0.620479,0.142729,0.628014,0.175403,0.630697,0.200613,0.587525,0.226655,0.568888,0.278826,0.561794,0.330362,0.544547,0.331583,0.600644,0.220395,0.598026,0.271907,0.59513,0.318464,0.583738,0.316015,
7,0.577302,0.313191,0.583701,0.315999,0.595107,0.318437,0.597992,0.271869,0.600699,0.220395,0.534566,0.330638,0.54466,0.33158,0.561939,0.330328,0.568978,0.278792,0.587562,0.226634,0.632056,0.209467,0.630673,0.200593,0.628013,0.175382,0.620531,0.142708,0.607147,0.13912,0.543671,0.227556,0.55064,0.216032,0.571642,0.185017,0.59042,0.146097,0.600692,0.140636,0.603421,0.0926619,0.604415,0.121328,0.607315,0.134985,0.612214,0.147434,0.60892,0.170021,0.60527,0.184374,0.6019,0.19595,0.602798,0.212575,0.597052,0.219878,0.58385,0.115622,0.586535,0.110966,0.589733,0.110613,0.596749,0.113276,0.605446,0.112197,0.559997,0.341067,0.563739,0.337931,0.59787,0.326104,0.591183,0.327846,0.542732,0.337178,0.546597,0.334134,0.586764,0.31894,0.580177,0.320603,0.532516,0.334485,0.536454,0.331498,0.580407,0.314549,0.573879,0.316166,0.59042,0.146097,0.571642,0.185017,0.55064,0.216032,0.620531,0.142708,0.628013,0.175382,0.630673,0.200593,0.587562,0.226634,0.568978,0.278792,0.561939,0.330328,0.54466,0.33158,0.600699,0.220395,0.597992,0.271869,0.595107,0.318437,0.583701,0.315999,
8,0.577253,0.313191,0.583665,0.31598,0.595093,0.318384,0.598009,0.271825,0.600746,0.220331,0.534661,0.330651,0.544783,0.331575,0.562103,0.330293,0.569051,0.278752,0.587641,0.226609,0.632006,0.209471,0.630658,0.200573,0.628019,0.175376,0.620538,0.142709,0.60721,0.139093,0.543769,0.227547,0.550746,0.216031,0.571746,0.18502,0.590506,0.146084,0.600732,0.140615,0.603456,0.092645,0.604459,0.121309,0.607361,0.134965,0.612257,0.147414,0.608967,0.169997,0.605323,0.184346,0.601958,0.195918,0.602862,0.212537,0.597115,0.219836,0.583875,0.115618,0.586573,0.110956,0.58975,0.110609,0.59682,0.113249,0.605456,0.11219,0.560193,0.341034,0.563892,0.337872,0.597856,0.326056,0.591177,0.3278,0.54288,0.337182,0.546705,0.334112,0.586727,0.318923,0.580148,0.320588,0.532633,0.334509,0.536531,0.331495,0.580356,0.31455,0.573835,0.316168,0.590506,0.146084,0.571746,0.18502,0.550746,0.216031,0.620538,0.142709,0.628019,0.175376,0.630658,0.200573,0.587641,0.226609,0.569051,0.278752,0.562103,0.330293,0.544783,0.331575,0.600746,0.220331,0.598009,0.271825,0.595093,0.318384,0.583665,0.31598,
9,0.577241,0.313157,0.583647,0.315943,0.595063,0.318341,0.598016,0.271759,0.600779,0.220306,0.534749,0.33066,0.544901,0.331567,0.562265,0.330258,0.569158,0.27873,0.587674,0.226593,0.631979,0.209476,0.630651,0.200554,0.628013,0.175351,0.620615,0.142688,0.607297,0.139079,0.543883,0.227544,0.550842,0.21602,0.571849,0.18502,0.590566,0.146066,0.600748,0.140581,0.60349,0.0926236,0.604504,0.121285,0.607402,0.13494,0.612278,0.147392,0.608996,0.16998,0.605359,0.18433,0.601997,0.195902,0.602897,0.21252,0.597149,0.219816,0.583902,0.115599,0.586611,0.11094,0.589769,0.110585,0.596886,0.113238,0.605468,0.112157,0.560391,0.341003,0.564044,0.337803,0.597837,0.32601,0.591157,0.327759,0.543027,0.337187,0.546807,0.334079,0.586715,0.318883,0.580133,0.320553,0.532747,0.334534,0.536602,0.331483,0.580346,0.314513,0.573824,0.316137,0.590566,0.146066,0.571849,0.18502,0.550842,0.21602,0.620615,0.142688,0.628013,0.175351,0.630651,0.200554,0.587674,0.226593,0.569158,0.27873,0.562265,0.330258,0.544901,0.331567,0.600779,0.220306,0.598016,0.271759,0.595063,0.318341,0.583647,0.315943,
10,0.577202,0.313166,0.583611,0.315934,0.595031,0.318296,0.597994,0.271713,0.600748,0.220223,0.534829,0.330705,0.545023,0.331588,0.562457,0.330238,0.56926,0.278724,0.587693,0.226554,0.631914,0.209473,0.630603,0.200525,0.627996,0.175328,0.620663,0.142664,0.607393,0.139048,0.544022,0.22757,0.550956,0.216034,0.571954,0.185031,0.590646,0.146062,0.600819,0.140548,0.603496,0.0926137,0.604566,0.121269,0.60748,0.134919,0.612342,0.147377,0.609032,0.169957,0.605384,0.1843,0.602014,0.195864,0.602906,0.212475,0.597147,0.21976,0.583937,0.115633,0.586649,0.110964,0.58979,0.110609,0.596955,0.11323,0.605487,0.112151,0.560609,0.340986,0.5642,0.337773,0.597807,0.325977,0.591127,0.32772,0.543176,0.337214,0.546898,0.334093,0.586679,0.318881,0.580099,0.320545,0.532853,0.334586,0.536651,0.331521,0.580307,0.314528,0.573786,0.316146,0.590646,0.146062,0.571954,0.185031,0.550956,0.216034,0.620663,0.142664,0.627996,0.175328,0.630603,0.200525,0.587693,0.226554,0.56926,0.278724,0.562457,0.330238,0.545023,0.331588,0.600748,0.220223,0.597994,0.271713,0.595031,0.318296,0.583611,0.315934,
