Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.454121,0.274295,0.456932,0.268559,0.461454,0.257279,0.461674,0.218217,0.463109,0.172888,0.498344,0.27229,0.494542,0.266879,0.488301,0.256105,0.487467,0.217624,0.4848,0.172014,0.389578,0.150106,0.397149,0.141937,0.423081,0.125493,0.45075,0.105711,0.466683,0.101569,0.55782,0.146305,0.549472,0.138847,0.522213,0.124227,0.493872,0.10487,0.477733,0.101242,0.470839,0.0594483,0.47169,0.0845832,0.471876,0.0956898,0.471697,0.104051,0.472175,0.123178,0.472619,0.136097,0.473018,0.146819,0.473233,0.159385,0.473725,0.168098,0.472706,0.0823642,0.476315,0.0772416,0.468264,0.0775155,0.482759,0.0770884,0.460407,0.0778491,0.491924,0.261874,0.485843,0.263661,0.458013,0.26338,0.464392,0.264622,0.497879,0.268987,0.491689,0.270839,0.453576,0.27098,0.460092,0.272266,0.501633,0.273168,0.495374,0.27506,0.450749,0.275481,0.457352,0.276795,0.493872,0.10487,0.522213,0.124227,0.549472,0.138847,0.45075,0.105711,0.423081,0.125493,0.397149,0.141937,0.4848,0.172014,0.487467,0.217624,0.488301,0.256105,0.494542,0.266879,0.463109,0.172888,0.461674,0.218217,0.461454,0.257279,0.456932,0.268559,
8.333,0.454109,0.274277,0.456917,0.268541,0.461413,0.257258,0.46169,0.218249,0.463104,0.172855,0.49836,0.272273,0.494559,0.266864,0.48834,0.256088,0.487447,0.217635,0.484793,0.171981,0.389732,0.150253,0.397076,0.141857,0.423078,0.125526,0.450759,0.105738,0.466679,0.101635,0.557642,0.146476,0.549539,0.138724,0.522184,0.124295,0.493852,0.1049,0.47773,0.101305,0.47084,0.0594537,0.471687,0.0846093,0.471872,0.0957294,0.471694,0.10406,0.472169,0.123158,0.472612,0.13607,0.473011,0.146788,0.473226,0.159356,0.473719,0.168066,0.4727,0.0823027,0.47631,0.0771966,0.468259,0.0774665,0.482757,0.0771013,0.460404,0.0778513,0.491895,0.261903,0.485811,0.263638,0.458046,0.263399,0.464426,0.264587,0.497865,0.269009,0.491673,0.270807,0.453596,0.270995,0.460112,0.272227,0.501631,0.273184,0.495371,0.275022,0.450758,0.275494,0.45736,0.276754,0.493852,0.1049,0.522184,0.124295,0.549539,0.138724,0.450759,0.105738,0.423078,0.125526,0.397076,0.141857,0.484793,0.171981,0.487447,0.217635,0.48834,0.256088,0.494559,0.266864,0.463104,0.172855,0.46169,0.218249,0.461413,0.257258,0.456917,0.268541,
16.666,0.454106,0.274264,0.456906,0.268527,0.461369,0.257239,0.461711,0.218279,0.463125,0.17284,0.498364,0.272267,0.494566,0.266854,0.488364,0.256069,0.48742,0.217664,0.484813,0.17197,0.389847,0.150374,0.397014,0.141804,0.423082,0.125576,0.450745,0.105749,0.466658,0.101664,0.557437,0.146621,0.549586,0.13859,0.522147,0.124327,0.493826,0.104919,0.477713,0.101342,0.470856,0.0594563,0.471677,0.0846231,0.471863,0.0957505,0.471714,0.104068,0.472194,0.123154,0.472634,0.136062,0.473031,0.146778,0.473252,0.159343,0.473741,0.168053,0.472694,0.0822731,0.476309,0.0771793,0.468257,0.0774387,0.482756,0.0771202,0.460401,0.077841,0.491878,0.261908,0.485793,0.263613,0.458067,0.263416,0.464447,0.264556,0.497853,0.269018,0.491661,0.270786,0.453614,0.271011,0.46013,0.272193,0.501624,0.273195,0.495363,0.275003,0.450772,0.27551,0.457375,0.276719,0.493826,0.104919,0.522147,0.124327,0.549586,0.13859,0.450745,0.105749,0.423082,0.125576,0.397014,0.141804,0.484813,0.17197,0.48742,0.217664,0.488364,0.256069,0.494566,0.266854,0.463125,0.17284,0.461711,0.218279,0.461369,0.257239,0.456906,0.268527,
25,0.454104,0.274263,0.456904,0.26852,0.461365,0.257224,0.461713,0.218294,0.463101,0.172819,0.498375,0.272253,0.494574,0.266849,0.488376,0.256057,0.487468,0.217698,0.484779,0.171927,0.389963,0.150482,0.396968,0.141758,0.42309,0.125622,0.45073,0.105748,0.466643,0.101694,0.557282,0.146722,0.549632,0.138477,0.52211,0.124387,0.493803,0.104955,0.4777,0.101385,0.470854,0.0594566,0.47167,0.0846356,0.471858,0.0957709,0.471715,0.10407,0.472181,0.123138,0.47261,0.13604,0.473002,0.146753,0.473197,0.159312,0.473704,0.168021,0.472688,0.0822338,0.476304,0.0771499,0.468252,0.0774064,0.48275,0.0771258,0.460394,0.0778385,0.491859,0.261912,0.485775,0.263596,0.45807,0.263401,0.46445,0.264537,0.497847,0.269026,0.491655,0.270774,0.453616,0.271005,0.460132,0.272184,0.501628,0.273195,0.495368,0.274983,0.450773,0.27551,0.457375,0.276715,0.493803,0.104955,0.52211,0.124387,0.549632,0.138477,0.45073,0.105748,0.42309,0.125622,0.396968,0.141758,0.484779,0.171927,0.487468,0.217698,0.488376,0.256057,0.494574,0.266849,0.463101,0.172819,0.461713,0.218294,0.461365,0.257224,0.456904,0.26852,
33.333,0.454106,0.274254,0.456902,0.268512,0.461353,0.257211,0.461692,0.218324,0.463099,0.172787,0.498377,0.27224,0.494573,0.266847,0.488371,0.256045,0.4875,0.217725,0.484774,0.171902,0.390058,0.150586,0.396921,0.141735,0.423086,0.125669,0.45072,0.105761,0.466627,0.101726,0.557132,0.146801,0.549665,0.138377,0.522075,0.124424,0.493786,0.104976,0.477687,0.10142,0.470858,0.0594537,0.47166,0.0846454,0.471848,0.0957897,0.47172,0.104073,0.472188,0.123125,0.472614,0.136023,0.473004,0.146732,0.4732,0.159282,0.473703,0.167992,0.472682,0.0821889,0.476301,0.0771173,0.468248,0.0773675,0.482745,0.0771328,0.460388,0.0778281,0.491851,0.261896,0.485768,0.263582,0.458071,0.263394,0.464451,0.26452,0.497844,0.269021,0.491653,0.27077,0.45362,0.271002,0.460136,0.272171,0.50163,0.273182,0.495372,0.274971,0.450778,0.275506,0.45738,0.276702,0.493786,0.104976,0.522075,0.124424,0.549665,0.138377,0.45072,0.105761,0.423086,0.125669,0.396921,0.141735,0.484774,0.171902,0.4875,0.217725,0.488371,0.256045,0.494573,0.266847,0.463099,0.172787,0.461692,0.218324,0.461353,0.257211,0.456902,0.268512,
41.666,0.454106,0.274251,0.4569,0.268507,0.461349,0.257203,0.461707,0.218332,0.463096,0.172779,0.498377,0.272234,0.494571,0.266842,0.488367,0.256036,0.487498,0.217725,0.484771,0.171893,0.39014,0.150674,0.396891,0.141719,0.423091,0.125715,0.450703,0.105754,0.46661,0.101726,0.557025,0.146845,0.549683,0.1383,0.522031,0.12448,0.49376,0.10497,0.477671,0.101426,0.470856,0.0594486,0.471649,0.0846431,0.471838,0.0957894,0.47172,0.10407,0.472188,0.12312,0.47261,0.136016,0.473,0.146725,0.473197,0.159274,0.4737,0.167984,0.47267,0.0821756,0.476291,0.0771077,0.468238,0.0773541,0.482736,0.0771334,0.460379,0.0778181,0.491844,0.261885,0.485762,0.263571,0.458061,0.263383,0.464443,0.264512,0.49784,0.269016,0.491651,0.270765,0.453616,0.270995,0.460132,0.272167,0.50163,0.273176,0.495372,0.274965,0.450777,0.275502,0.45738,0.2767,0.49376,0.10497,0.522031,0.12448,0.549683,0.1383,0.450703,0.105754,0.423091,0.125715,0.396891,0.141719,0.484771,0.171893,0.487498,0.217725,0.488367,0.256036,0.494571,0.266842,0.463096,0.172779,0.461707,0.218332,0.461349,0.257203,0.4569,0.268507,
50,0.454107,0.274246,0.4569,0.2685,0.461346,0.257194,0.461697,0.218329,0.463094,0.172776,0.498375,0.272228,0.494569,0.266835,0.488364,0.256023,0.487505,0.217726,0.484767,0.171881,0.390222,0.150766,0.396854,0.141709,0.423089,0.125762,0.450688,0.105759,0.466593,0.101736,0.556921,0.146881,0.549694,0.138234,0.521988,0.124521,0.493742,0.104974,0.477655,0.101436,0.470849,0.0594518,0.471635,0.0846485,0.471822,0.0957955,0.471707,0.104068,0.472175,0.123111,0.472599,0.136007,0.47299,0.146715,0.473186,0.159269,0.473694,0.167977,0.472657,0.0821722,0.476279,0.0771072,0.468226,0.0773506,0.482725,0.0771409,0.460367,0.0778176,0.491845,0.261867,0.485762,0.263556,0.458059,0.263373,0.46444,0.264502,0.49784,0.269005,0.49165,0.270758,0.453615,0.270988,0.460132,0.27216,0.501629,0.273168,0.495371,0.274961,0.450778,0.275497,0.457381,0.276695,0.493742,0.104974,0.521988,0.124521,0.549694,0.138234,0.450688,0.105759,0.423089,0.125762,0.396854,0.141709,0.484767,0.171881,0.487505,0.217726,0.488364,0.256023,0.494569,0.266835,0.463094,0.172776,0.461697,0.218329,0.461346,0.257194,0.4569,0.2685,
58.333,0.454106,0.274247,0.456896,0.268499,0.461342,0.257189,0.461694,0.218342,0.463084,0.172773,0.49837,0.272227,0.494565,0.266834,0.488361,0.256017,0.487498,0.217731,0.484756,0.171876,0.390284,0.150844,0.396826,0.141707,0.423092,0.125815,0.450672,0.105761,0.466575,0.101745,0.556834,0.146914,0.549695,0.138189,0.521953,0.124548,0.493719,0.104975,0.477637,0.101447,0.470834,0.0594452,0.471617,0.0846481,0.471805,0.0958003,0.471694,0.10407,0.472164,0.123109,0.472587,0.136004,0.472978,0.146711,0.473174,0.159265,0.473683,0.167974,0.472637,0.0821445,0.47626,0.0770851,0.468207,0.0773265,0.482708,0.0771376,0.460349,0.0778086,0.491843,0.261858,0.48576,0.263549,0.458047,0.263363,0.464429,0.264496,0.497837,0.269002,0.491647,0.270757,0.453608,0.270983,0.460125,0.27216,0.501625,0.273166,0.495367,0.27496,0.450774,0.275495,0.457378,0.276698,0.493719,0.104975,0.521953,0.124548,0.549695,0.138189,0.450672,0.105761,0.423092,0.125815,0.396826,0.141707,0.484756,0.171876,0.487498,0.217731,0.488361,0.256017,0.494565,0.266834,0.463084,0.172773,0.461694,0.218342,0.461342,0.257189,0.456896,0.268499,
66.666,0.4541,0.274241,0.45689,0.268492,0.461334,0.257181,0.461692,0.218357,0.463077,0.172766,0.498365,0.272225,0.49456,0.26683,0.488355,0.256009,0.487496,0.217734,0.48475,0.171868,0.390333,0.150915,0.396798,0.141716,0.423091,0.125863,0.450652,0.105776,0.466555,0.101764,0.556748,0.146944,0.549693,0.138144,0.52191,0.124593,0.493696,0.104978,0.477618,0.101463,0.470816,0.0594415,0.471597,0.084652,0.471785,0.0958103,0.471677,0.104073,0.472149,0.123105,0.472574,0.135997,0.472967,0.146704,0.473167,0.159258,0.473677,0.167966,0.47261,0.0821143,0.476236,0.0770618,0.468181,0.0773007,0.482688,0.0771378,0.460329,0.077802,0.49184,0.261845,0.485758,0.26354,0.458043,0.263356,0.464425,0.264487,0.497833,0.268995,0.491644,0.270753,0.453604,0.270978,0.460121,0.272151,0.501621,0.273161,0.495363,0.27496,0.450769,0.27549,0.457373,0.276691,0.493696,0.104978,0.52191,0.124593,0.549693,0.138144,0.450652,0.105776,0.423091,0.125863,0.396798,0.141716,0.48475,0.171868,0.487496,0.217734,0.488355,0.256009,0.49456,0.26683,0.463077,0.172766,0.461692,0.218357,0.461334,0.257181,0.45689,0.268492,
75,0.454096,0.274239,0.456886,0.268488,0.46133,0.257174,0.46169,0.21836,0.463069,0.172761,0.498361,0.272223,0.494556,0.266826,0.488351,0.256003,0.487495,0.217738,0.484741,0.171863,0.39037,0.150981,0.396772,0.141728,0.423089,0.125917,0.450631,0.105773,0.466532,0.101767,0.556675,0.146969,0.549681,0.138114,0.521864,0.12464,0.493671,0.104979,0.477596,0.10147,0.470793,0.0594359,0.471575,0.0846504,0.471768,0.0958119,0.471672,0.104073,0.472146,0.123101,0.472569,0.135993,0.47296,0.1467,0.473157,0.159253,0.473668,0.167961,0.472576,0.0820958,0.476205,0.0770467,0.46815,0.0772845,0.482664,0.0771343,0.460304,0.0777951,0.491839,0.261837,0.485756,0.263534,0.458034,0.263346,0.464416,0.26448,0.497831,0.268989,0.491641,0.27075,0.453597,0.270971,0.460114,0.272148,0.501618,0.273158,0.49536,0.274958,0.450764,0.275485,0.457368,0.27669,0.493671,0.104979,0.521864,0.12464,0.549681,0.138114,0.450631,0.105773,0.423089,0.125917,0.396772,0.141728,0.484741,0.171863,0.487495,0.217738,0.488351,0.256003,0.494556,0.266826,0.463069,0.172761,0.46169,0.21836,0.46133,0.257174,0.456886,0.268488,
