Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.497458,0.303186,0.502882,0.297101,0.512151,0.285613,0.522105,0.249332,0.533751,0.205565,0.593843,0.303411,0.588381,0.297241,0.579184,0.285556,0.570006,0.248136,0.560366,0.204117,0.444298,0.166376,0.455463,0.160908,0.487632,0.148264,0.520272,0.125735,0.5378,0.120198,0.646024,0.162058,0.634961,0.15585,0.604294,0.138912,0.568606,0.121568,0.550975,0.119361,0.543453,0.0696979,0.543991,0.0997742,0.544028,0.113282,0.544027,0.123787,0.544731,0.146581,0.545318,0.161841,0.54582,0.174488,0.54641,0.189701,0.546825,0.199788,0.550373,0.0950232,0.553427,0.0890968,0.544177,0.0899086,0.557471,0.089846,0.531873,0.0921024,0.583779,0.289955,0.577796,0.293316,0.507279,0.289555,0.513055,0.293185,0.592129,0.298271,0.586028,0.301726,0.499078,0.297837,0.504949,0.301568,0.59735,0.303298,0.591174,0.306812,0.493977,0.302837,0.499906,0.30663,0.568606,0.121568,0.604294,0.138912,0.634961,0.15585,0.520272,0.125735,0.487632,0.148264,0.455463,0.160908,0.560366,0.204117,0.570006,0.248136,0.579184,0.285556,0.588381,0.297241,0.533751,0.205565,0.522105,0.249332,0.512151,0.285613,0.502882,0.297101,
8.333,0.497555,0.303189,0.502948,0.297115,0.512175,0.285617,0.522081,0.249293,0.533708,0.205535,0.593938,0.303347,0.588426,0.297213,0.579149,0.28556,0.570159,0.248105,0.560327,0.204162,0.444425,0.166452,0.455454,0.160745,0.487612,0.148147,0.520344,0.125756,0.53784,0.120217,0.64597,0.16212,0.634979,0.155806,0.6043,0.138917,0.568614,0.121625,0.551019,0.119393,0.54342,0.0696667,0.544016,0.0997579,0.544081,0.113289,0.544093,0.123792,0.544783,0.146583,0.545354,0.161843,0.545835,0.174491,0.546433,0.189706,0.546805,0.199795,0.550372,0.0948674,0.55342,0.0889661,0.544169,0.0897819,0.557477,0.0897992,0.531877,0.092067,0.583715,0.289954,0.577753,0.293327,0.507293,0.289573,0.51308,0.293191,0.592155,0.298237,0.586075,0.301705,0.499137,0.297861,0.505019,0.301579,0.597431,0.303231,0.591278,0.306759,0.494063,0.302851,0.500005,0.306632,0.568614,0.121625,0.6043,0.138917,0.634979,0.155806,0.520344,0.125756,0.487612,0.148147,0.455454,0.160745,0.560327,0.204162,0.570159,0.248105,0.579149,0.28556,0.588426,0.297213,0.533708,0.205535,0.522081,0.249293,0.512175,0.285617,0.502948,0.297115,
16.666,0.49751,0.303153,0.502942,0.297111,0.512229,0.285634,0.522069,0.249322,0.533749,0.205522,0.593977,0.303343,0.588447,0.297223,0.579144,0.285567,0.570129,0.248046,0.560367,0.20414,0.444535,0.166513,0.455419,0.160597,0.487575,0.148067,0.520359,0.125754,0.537827,0.120202,0.645908,0.162135,0.634953,0.155758,0.604269,0.138926,0.56859,0.121655,0.551007,0.119381,0.543437,0.0696367,0.544012,0.0997331,0.544075,0.113271,0.544102,0.123776,0.544797,0.146565,0.545371,0.161825,0.545856,0.174474,0.546476,0.189691,0.546845,0.199778,0.550369,0.094802,0.553421,0.0889149,0.54417,0.0897175,0.557479,0.0897848,0.531879,0.0920167,0.583682,0.289968,0.577726,0.293337,0.507386,0.289599,0.51316,0.293218,0.592161,0.298251,0.586087,0.301715,0.499153,0.29786,0.50502,0.301579,0.597462,0.303232,0.591316,0.306756,0.494032,0.30282,0.499959,0.306602,0.56859,0.121655,0.604269,0.138926,0.634953,0.155758,0.520359,0.125754,0.487575,0.148067,0.455419,0.160597,0.560367,0.20414,0.570129,0.248046,0.579144,0.285567,0.588447,0.297223,0.533749,0.205522,0.522069,0.249322,0.512229,0.285634,0.502942,0.297111,
25,0.497541,0.303138,0.502972,0.297107,0.512265,0.285625,0.522097,0.249333,0.533724,0.205511,0.594023,0.303297,0.58847,0.297211,0.579126,0.28558,0.570128,0.248058,0.560342,0.204115,0.444652,0.166506,0.455435,0.160466,0.487571,0.147989,0.520387,0.125761,0.537838,0.120177,0.645826,0.162173,0.634928,0.155724,0.604248,0.138929,0.568592,0.12164,0.551018,0.119367,0.543463,0.0695899,0.544033,0.0996939,0.544092,0.113246,0.544111,0.123757,0.544787,0.146548,0.54535,0.161808,0.545831,0.174457,0.546433,0.189672,0.546815,0.19976,0.550367,0.0946959,0.553427,0.0888274,0.544173,0.0896183,0.557501,0.0897495,0.531895,0.0919492,0.583659,0.289978,0.577713,0.293356,0.507423,0.289584,0.513196,0.293205,0.592178,0.298234,0.586117,0.301709,0.499184,0.297853,0.505051,0.301574,0.597506,0.303184,0.591371,0.306719,0.494061,0.302805,0.499986,0.30659,0.568592,0.12164,0.604248,0.138929,0.634928,0.155724,0.520387,0.125761,0.487571,0.147989,0.455435,0.160466,0.560342,0.204115,0.570128,0.248058,0.579126,0.28558,0.58847,0.297211,0.533724,0.205511,0.522097,0.249333,0.512265,0.285625,0.502972,0.297107,
33.333,0.497559,0.303125,0.502981,0.297121,0.512263,0.285655,0.522133,0.249335,0.533733,0.205516,0.594059,0.303292,0.588506,0.297224,0.579156,0.285599,0.570053,0.248086,0.560345,0.204086,0.444767,0.166478,0.455466,0.160349,0.487561,0.147895,0.520427,0.125791,0.537866,0.120202,0.645744,0.162231,0.634923,0.155691,0.604243,0.138929,0.568602,0.121652,0.551046,0.119403,0.543477,0.069561,0.544064,0.099679,0.544121,0.113255,0.544118,0.123765,0.544769,0.146547,0.545326,0.161806,0.545811,0.174452,0.546414,0.18966,0.546813,0.199747,0.550368,0.0945423,0.553431,0.0887068,0.544175,0.0894859,0.557526,0.089726,0.531915,0.0918937,0.58369,0.289996,0.577745,0.293376,0.507425,0.289637,0.513201,0.293248,0.592214,0.298247,0.586153,0.301723,0.499194,0.297881,0.505064,0.301592,0.597545,0.303182,0.591411,0.306718,0.494075,0.302805,0.500004,0.30658,0.568602,0.121652,0.604243,0.138929,0.634923,0.155691,0.520427,0.125791,0.487561,0.147895,0.455466,0.160349,0.560345,0.204086,0.570053,0.248086,0.579156,0.285599,0.588506,0.297224,0.533733,0.205516,0.522133,0.249335,0.512263,0.285655,0.502981,0.297121,
41.666,0.497598,0.303126,0.503008,0.297132,0.51228,0.285659,0.522133,0.249308,0.533717,0.205475,0.594052,0.30331,0.588501,0.297264,0.579147,0.285649,0.570057,0.248095,0.560324,0.204032,0.444902,0.166427,0.455518,0.160235,0.487571,0.147796,0.520457,0.1258,0.537887,0.120203,0.645659,0.162246,0.634871,0.155685,0.604214,0.138925,0.568611,0.121613,0.551067,0.119407,0.543512,0.0694942,0.544093,0.0996298,0.544139,0.113234,0.544119,0.123741,0.544757,0.146514,0.545309,0.161769,0.545793,0.174414,0.546377,0.189609,0.546789,0.199699,0.550379,0.094342,0.553448,0.0885463,0.54419,0.0893038,0.557557,0.0896788,0.53194,0.0917876,0.583694,0.290044,0.57775,0.29343,0.507429,0.289632,0.513207,0.293247,0.592214,0.298284,0.586155,0.301766,0.499215,0.297886,0.505087,0.301601,0.597544,0.3032,0.591411,0.306742,0.494107,0.302805,0.500039,0.306584,0.568611,0.121613,0.604214,0.138925,0.634871,0.155685,0.520457,0.1258,0.487571,0.147796,0.455518,0.160235,0.560324,0.204032,0.570057,0.248095,0.579147,0.285649,0.588501,0.297264,0.533717,0.205475,0.522133,0.249308,0.51228,0.285659,0.503008,0.297132,
50,0.497642,0.303122,0.503032,0.297145,0.512275,0.285675,0.522152,0.249332,0.533704,0.205467,0.594111,0.303281,0.588538,0.297253,0.579149,0.285642,0.570137,0.248045,0.560313,0.204055,0.445042,0.166407,0.455575,0.16013,0.487567,0.147671,0.520492,0.125789,0.537922,0.120194,0.64557,0.162302,0.634852,0.155672,0.604209,0.138931,0.56864,0.121581,0.5511,0.119405,0.543533,0.0694829,0.544127,0.0996171,0.544176,0.113228,0.544148,0.123742,0.544774,0.146515,0.54532,0.161771,0.545798,0.174416,0.546398,0.189621,0.546787,0.199708,0.550393,0.0942823,0.553464,0.0884979,0.544206,0.0892537,0.557584,0.0896617,0.531968,0.0917659,0.583671,0.290037,0.577736,0.293424,0.507425,0.289671,0.513211,0.293272,0.592237,0.298273,0.586186,0.301756,0.499236,0.297915,0.505117,0.301616,0.597595,0.303173,0.591472,0.306716,0.494145,0.302816,0.500086,0.30658,0.56864,0.121581,0.604209,0.138931,0.634852,0.155672,0.520492,0.125789,0.487567,0.147671,0.455575,0.16013,0.560313,0.204055,0.570137,0.248045,0.579149,0.285642,0.588538,0.297253,0.533704,0.205467,0.522152,0.249332,0.512275,0.285675,0.503032,0.297145,
58.333,0.497649,0.303119,0.503041,0.297157,0.512283,0.285683,0.522152,0.249339,0.533762,0.205468,0.594172,0.303268,0.588576,0.297273,0.579149,0.285693,0.570091,0.248049,0.560366,0.204002,0.445151,0.166371,0.455612,0.160053,0.487529,0.147559,0.520503,0.125829,0.537922,0.120228,0.645453,0.162313,0.634774,0.155667,0.60416,0.138917,0.568625,0.121565,0.551101,0.119435,0.543566,0.0694425,0.544137,0.0995937,0.544173,0.113235,0.544147,0.123744,0.544775,0.146504,0.545327,0.161756,0.545815,0.174398,0.546407,0.189598,0.546828,0.199683,0.550406,0.0940875,0.553481,0.0883514,0.544223,0.0890778,0.5576,0.0896479,0.531985,0.0916721,0.583665,0.290092,0.577739,0.293485,0.507458,0.289701,0.513247,0.293287,0.592269,0.298294,0.586229,0.301783,0.499255,0.29794,0.505138,0.301627,0.597653,0.303161,0.59154,0.306711,0.494155,0.302826,0.500098,0.306577,0.568625,0.121565,0.60416,0.138917,0.634774,0.155667,0.520503,0.125829,0.487529,0.147559,0.455612,0.160053,0.560366,0.204002,0.570091,0.248049,0.579149,0.285693,0.588576,0.297273,0.533762,0.205468,0.522152,0.249339,0.512283,0.285683,0.503041,0.297157,
66.666,0.497648,0.303118,0.503034,0.297174,0.512274,0.285705,0.522158,0.249336,0.53381,0.205438,0.594169,0.303276,0.588575,0.297294,0.579147,0.28571,0.5702,0.248021,0.560409,0.203951,0.445284,0.16631,0.455676,0.159974,0.487527,0.147458,0.520522,0.125831,0.537931,0.120206,0.645355,0.162318,0.634686,0.155682,0.604114,0.138922,0.568634,0.121504,0.551107,0.119405,0.543621,0.0694005,0.544157,0.0995549,0.544175,0.113205,0.544142,0.123717,0.544777,0.146474,0.545339,0.161724,0.545836,0.174365,0.546445,0.189557,0.54687,0.199642,0.550432,0.0940049,0.553512,0.0882868,0.544255,0.0889946,0.557629,0.0896272,0.532017,0.0916,0.583661,0.290108,0.577736,0.293501,0.507443,0.289722,0.513232,0.29331,0.592267,0.298314,0.586228,0.301804,0.499245,0.297957,0.505129,0.301645,0.597653,0.30317,0.59154,0.306722,0.494149,0.302827,0.500093,0.306579,0.568634,0.121504,0.604114,0.138922,0.634686,0.155682,0.520522,0.125831,0.487527,0.147458,0.455676,0.159974,0.560409,0.203951,0.5702,0.248021,0.579147,0.28571,0.588575,0.297294,0.53381,0.205438,0.522158,0.249336,0.512274,0.285705,0.503034,0.297174,
75,0.497695,0.303113,0.503059,0.297176,0.512269,0.285692,0.522134,0.249369,0.533784,0.205413,0.594177,0.303295,0.588588,0.297316,0.57917,0.28571,0.570202,0.247996,0.560383,0.203949,0.445442,0.166256,0.455746,0.159885,0.487527,0.147341,0.520561,0.125846,0.537963,0.120187,0.645251,0.162361,0.634617,0.155702,0.604087,0.138935,0.56866,0.121442,0.551136,0.119391,0.543633,0.0693776,0.544185,0.0995299,0.544204,0.113186,0.544157,0.123702,0.54478,0.146458,0.545336,0.161707,0.545827,0.174347,0.546438,0.189549,0.54685,0.199631,0.550466,0.093929,0.55354,0.0882223,0.544286,0.0889305,0.557648,0.0895945,0.532046,0.0915688,0.583667,0.290114,0.577738,0.293497,0.507436,0.289717,0.513234,0.293295,0.592273,0.298341,0.58623,0.301821,0.499267,0.297965,0.50516,0.301643,0.59766,0.303198,0.591543,0.306739,0.494189,0.302832,0.500143,0.306574,0.56866,0.121442,0.604087,0.138935,0.634617,0.155702,0.520561,0.125846,0.487527,0.147341,0.455746,0.159885,0.560383,0.203949,0.570202,0.247996,0.57917,0.28571,0.588588,0.297316,0.533784,0.205413,0.522134,0.249369,0.512269,0.285692,0.503059,0.297176,
